lead_id,timestamp,channel,touchpoint_type,campaign,segment,converted,session_id
U001,2026-02-10 08:30,meta,impression,install_campaign,new_user,0,s001
U001,2026-02-11 12:15,google,click,brand_search,new_user,0,s002
U001,2026-02-11 12:20,app,install,organic,new_user,1,s002
U002,2026-02-10 18:00,tiktok,view,awareness_video,new_user,0,s003
U002,2026-02-12 09:00,meta,click,retarget,new_user,0,s004
U002,2026-02-12 09:05,app,install,retarget,new_user,1,s004
U003,2026-02-09 07:45,dv360,impression,programmatic_display,new_user,0,s005
U003,2026-02-10 11:00,youtube,view,preroll_15s,new_user,0,s006
U003,2026-02-11 08:30,meta,click,install_campaign,new_user,0,s007
U003,2026-02-11 08:35,app,install,install_campaign,new_user,1,s007
U004,2026-02-10 22:00,tiktok,view,awareness_video,new_user,0,s008
U004,2026-02-11 14:00,tiktok,click,install_cta,new_user,0,s009
U004,2026-02-11 14:05,app,install,install_cta,new_user,1,s009
U005,2026-02-08 10:00,google,click,uac_install,new_user,0,s010
U005,2026-02-10 09:15,meta,impression,retarget,new_user,0,s011
U005,2026-02-12 07:30,google,click,brand_search,new_user,0,s012
U005,2026-02-12 07:35,app,install,brand_search,new_user,1,s012
U006,2026-02-09 19:00,youtube,view,bumper_6s,new_user,0,s013
U006,2026-02-10 08:00,meta,impression,install_campaign,new_user,0,s014
U006,2026-02-11 12:00,google,click,uac_install,new_user,0,s015
U006,2026-02-11 12:05,app,install,uac_install,new_user,1,s015
U007,2026-02-10 06:50,meta,impression,install_campaign,reactivation,0,s016
U007,2026-02-11 18:30,dv360,impression,retarget_display,reactivation,0,s017
U007,2026-02-13 09:00,meta,click,retarget,reactivation,0,s018
U007,2026-02-13 09:05,app,install,retarget,reactivation,1,s018
U008,2026-02-09 14:00,google,click,competitor_keywords,reactivation,0,s019
U008,2026-02-10 20:00,youtube,view,preroll_15s,reactivation,0,s020
U008,2026-02-12 11:00,meta,click,retarget,reactivation,0,s021
U008,2026-02-12 11:05,app,install,retarget,reactivation,1,s021
U009,2026-02-10 08:00,meta,impression,reactivation_push,reactivation,0,s022
U009,2026-02-11 10:30,meta,click,reactivation_push,reactivation,0,s023
U009,2026-02-11 10:35,app,install,reactivation_push,reactivation,1,s023
U010,2026-02-11 07:00,dv360,impression,retarget_display,reactivation,0,s024
U010,2026-02-12 16:00,google,click,brand_search,reactivation,0,s025
U010,2026-02-12 16:05,app,install,brand_search,reactivation,1,s025
U011,2026-02-09 11:30,linkedin,impression,corporate_fleet,corporate,0,s026
U011,2026-02-10 14:00,linkedin,click,corporate_fleet,corporate,0,s027
U011,2026-02-12 10:00,google,click,brand_search,corporate,0,s028
U011,2026-02-12 10:05,app,install,corporate_form,corporate,1,s028
U012,2026-02-10 09:00,linkedin,impression,corporate_fleet,corporate,0,s029
U012,2026-02-13 11:00,linkedin,click,corporate_demo,corporate,0,s030
U012,2026-02-13 11:05,app,install,corporate_demo,corporate,1,s030
U013,2026-02-08 17:00,meta,impression,airport_geo,airport,0,s031
U013,2026-02-09 06:30,dv360,impression,airport_display,airport,0,s032
U013,2026-02-09 07:00,google,click,bitaksi_airport,airport,0,s033
U013,2026-02-09 07:05,app,install,bitaksi_airport,airport,1,s033
U014,2026-02-10 15:00,dv360,impression,airport_display,airport,0,s034
U014,2026-02-10 18:00,meta,click,airport_geo,airport,0,s035
U014,2026-02-10 18:05,app,install,airport_geo,airport,1,s035
U015,2026-02-09 20:00,tiktok,view,awareness_video,new_user,0,s036
U015,2026-02-10 13:00,meta,impression,install_campaign,new_user,0,s037
U015,2026-02-12 08:00,meta,click,retarget,new_user,0,s038
U015,2026-02-12 08:05,app,install,retarget,new_user,1,s038
U016,2026-02-10 09:30,google,click,uac_install,new_user,0,s039
U016,2026-02-11 17:00,youtube,view,preroll_15s,new_user,0,s040
U016,2026-02-13 08:00,google,click,brand_search,new_user,0,s041
U016,2026-02-13 08:05,app,install,brand_search,new_user,1,s041
U017,2026-02-11 10:00,meta,impression,install_campaign,new_user,0,s042
U017,2026-02-12 14:00,tiktok,view,install_cta,new_user,0,s043
U018,2026-02-09 08:00,dv360,impression,programmatic_display,new_user,0,s044
U018,2026-02-10 09:00,meta,impression,install_campaign,new_user,0,s045
U019,2026-02-10 16:00,youtube,view,bumper_6s,reactivation,0,s046
U019,2026-02-11 08:00,meta,click,reactivation_push,reactivation,0,s047
U020,2026-02-11 09:00,google,click,uac_install,new_user,0,s048
U020,2026-02-13 07:00,meta,impression,retarget,new_user,0,s049
U020,2026-02-14 10:00,meta,click,retarget,new_user,0,s050
U020,2026-02-14 10:05,app,install,retarget,new_user,1,s050
U021,2026-02-08 12:00,meta,impression,install_campaign,new_user,0,s051
U021,2026-02-09 15:00,tiktok,view,awareness_video,new_user,0,s052
U021,2026-02-10 09:00,google,click,uac_install,new_user,0,s053
U021,2026-02-10 09:05,app,install,uac_install,new_user,1,s053
U022,2026-02-10 07:00,dv360,impression,airport_display,airport,0,s054
U022,2026-02-10 14:00,google,click,bitaksi_airport,airport,0,s055
U022,2026-02-10 14:05,app,install,bitaksi_airport,airport,1,s055
U023,2026-02-11 11:00,youtube,view,preroll_15s,new_user,0,s056
U023,2026-02-12 10:00,meta,click,install_campaign,new_user,0,s057
U023,2026-02-12 10:05,app,install,install_campaign,new_user,1,s057
U024,2026-02-09 08:30,meta,impression,reactivation_push,reactivation,0,s058
