lead_id,timestamp,channel,touchpoint_type,campaign,segment,converted,session_id
L001,2026-01-15 10:23,meta,impression,S1_lead,S1,0,s001
L001,2026-01-16 14:05,google,click,brand_search,S1,0,s002
L001,2026-01-16 14:08,form,submit,lp_filo,S1,1,s002
L002,2026-01-15 09:00,tiktok,view,S1_video,S1,0,s003
L002,2026-01-17 11:30,meta,click,S1_retarget,S1,0,s004
L002,2026-01-18 09:15,google,click,brand_search,S1,0,s005
L002,2026-01-18 09:20,form,submit,lp_filo,S1,1,s005
L003,2026-01-14 08:00,linkedin,impression,S2_awareness,S2,0,s006
L003,2026-01-16 10:00,meta,click,S2_lead,S2,0,s007
L003,2026-01-20 14:00,google,click,brand_search,S2,0,s008
L003,2026-01-20 14:05,form,submit,lp_filo,S2,1,s008
L004,2026-01-15 12:00,meta,impression,S1_lead,S1,0,s009
L004,2026-01-16 08:00,dv360,impression,S1_display,S1,0,s010
L004,2026-01-18 16:00,youtube,view,S1_video,S1,0,s011
L004,2026-01-20 10:00,google,click,brand_search,S1,0,s012
L004,2026-01-20 10:05,form,submit,lp_filo,S1,1,s012
L005,2026-01-14 11:00,tiktok,view,S1_video,S1,0,s013
L005,2026-01-15 13:00,meta,impression,S1_lead,S1,0,s014
L005,2026-01-19 09:00,meta,click,S1_retarget,S1,0,s015
L006,2026-01-16 10:00,google,click,generic_search,S3,0,s016
L006,2026-01-17 11:00,meta,impression,S3_retarget,S3,0,s017
L007,2026-01-15 08:30,meta,impression,S1_lead,S1,0,s018
L007,2026-01-16 09:00,tiktok,view,S1_video,S1,0,s019
L007,2026-01-17 14:00,meta,click,S1_retarget,S1,0,s020
L007,2026-01-17 14:05,form,submit,lp_filo,S1,1,s020
L008,2026-01-14 15:00,linkedin,impression,S2_awareness,S2,0,s021
L008,2026-01-18 10:00,linkedin,click,S2_lead,S2,0,s022
L008,2026-01-20 11:00,google,click,brand_search,S2,0,s023
L008,2026-01-20 11:05,form,submit,lp_filo,S2,1,s023
L009,2026-01-15 07:00,dv360,impression,S1_display,S1,0,s024
L009,2026-01-16 12:00,youtube,view,S1_video,S1,0,s025
L009,2026-01-19 08:00,meta,click,S1_retarget,S1,0,s026
L010,2026-01-14 09:30,meta,impression,S1_lead,S1,0,s027
L010,2026-01-15 11:00,google,click,brand_search,S1,0,s028
L010,2026-01-15 11:05,form,submit,lp_filo,S1,1,s028
L011,2026-01-16 08:00,tiktok,view,S2_video,S2,0,s029
L011,2026-01-18 10:00,meta,click,S2_lead,S2,0,s030
L011,2026-01-19 14:00,google,click,brand_search,S2,0,s031
L011,2026-01-19 14:05,form,submit,lp_filo,S2,1,s031
L012,2026-01-15 10:00,meta,impression,S1_lead,S1,0,s032
L012,2026-01-17 09:00,tiktok,view,S1_video,S1,0,s033
L013,2026-01-14 14:00,google,click,generic_search,S4,0,s034
L013,2026-01-15 16:00,meta,impression,S4_retarget,S4,0,s035
L013,2026-01-18 09:00,google,click,brand_search,S4,0,s036
L013,2026-01-18 09:05,form,submit,lp_filo,S4,1,s036
L014,2026-01-15 11:00,youtube,view,S1_video,S1,0,s037
L014,2026-01-16 14:00,meta,click,S1_retarget,S1,0,s038
L014,2026-01-17 10:00,google,click,brand_search,S1,0,s039
L014,2026-01-17 10:05,form,submit,lp_filo,S1,1,s039
L015,2026-01-16 09:00,dv360,impression,S3_display,S3,0,s040
L015,2026-01-18 11:00,meta,click,S3_lead,S3,0,s041
L016,2026-01-15 08:00,meta,impression,S1_lead,S1,0,s042
L016,2026-01-17 10:00,linkedin,click,S1_lead,S1,0,s043
L016,2026-01-19 09:00,google,click,brand_search,S1,0,s044
L016,2026-01-19 09:05,form,submit,lp_filo,S1,1,s044
L017,2026-01-14 13:00,tiktok,view,S1_video,S1,0,s045
L017,2026-01-16 09:00,meta,impression,S1_lead,S1,0,s046
L018,2026-01-15 10:00,google,click,generic_search,S2,0,s047
L018,2026-01-17 14:00,meta,click,S2_retarget,S2,0,s048
L018,2026-01-18 10:00,google,click,brand_search,S2,0,s049
L018,2026-01-18 10:05,form,submit,lp_filo,S2,1,s049
L019,2026-01-16 11:00,meta,impression,S1_lead,S1,0,s050
L019,2026-01-18 13:00,dv360,impression,S1_display,S1,0,s051
L019,2026-01-20 09:00,meta,click,S1_retarget,S1,0,s052
L020,2026-01-14 07:30,youtube,view,S1_video,S1,0,s053
L020,2026-01-15 09:00,meta,impression,S1_lead,S1,0,s054
L020,2026-01-16 11:00,tiktok,view,S1_video,S1,0,s055
L020,2026-01-18 10:00,google,click,brand_search,S1,0,s056
L020,2026-01-18 10:05,form,submit,lp_filo,S1,1,s056
